Entity,Year,Agriculture,Real Estate,Accomodation,Transportation,Scientific Activities,Manufacturing and construction,Other
Comoros,2018,280000,60000,40000,170000,100000,10000,10000
Comoros,2019,280000,60000,40000,180000,110000,10000,10000
Comoros,2020,280000,60000,50000,220000,130000,10000,10000
Comoros,2021,280000,60000,50000,230000,130000,10000,10000
Congo,2008,2700000,8560000,259999.98,1200000,8940000,290000,540000
Congo,2009,2570000,8570000,300000,1310000,9939999.99,310000,560000
Congo,2010,2960000,8750000,320000,1510000,11110000,289999.98,570000
Congo,2011,3070000,8950000,470000,1680000,10500000,340000,590000
Congo,2012,2930000,8950000,470000,1670000,8400000,490000,610000
Congo,2013,3100000,8950000,490000,1980000,8740000.5,550000,630000
Congo,2014,2660000,8870000,490000,2089999.9,8449999.99,650000,640000
Congo,2015,3050000,9070000,490000,1770000,8860000,840000,660000
Congo,2016,3080000,10210000,510000,1510000,8549999.99,950000,680000
Congo,2017,3020000,9860000,510000,1350000,9250000,1070000,700000
Congo,2018,3100000,10140000,519999.97,1290000,11700000,980000,720000
Congo,2019,3050000,10200000,530000,1300000,12740000,1040000,730000
Congo,2020,2700000,10080000,519999.97,1220000,12680000,1040000,750000
Congo,2021,2620000,9950000,530000,1240000,11530000,1160000,770000
Cook Islands,2008,20000,0,0,40000,50000,0,
Cook Islands,2009,20000,0,0,40000,40000,0,
Cook Islands,2010,20000,0,0,50000,50000,0,
Cook Islands,2011,20000,0,0,50000,60000,0,
Cook Islands,2012,20000,0,0,60000,50000,0,
Cook Islands,2013,20000,0,0,60000,50000,0,
Cook Islands,2014,20000,0,0,60000,50000,0,
Cook Islands,2015,20000,0,0,50000,50000,0,
Cook Islands,2016,20000,0,0,50000,50000,0,
Cook Islands,2017,10000,0,0,60000,50000,0,
Cook Islands,2018,10000,0,0,60000,60000,0,
Cook Islands,2019,10000,0,0,60000,50000,0,
Cook Islands,2020,10000,0,0,50000,40000,0,
Cook Islands,2021,10000,0,0,50000,50000,0,
Costa Rica,2008,3630000,0,340000,4490000,1690000,2470000,1740000
Costa Rica,2009,3450000,0,320000,4550000,1260000,2370000,1780000
Costa Rica,2010,3600000,0,340000,4680000,1350000,2070000,1810000
Costa Rica,2011,3880000,0,300000,4790000,1460000,2260000,1850000
Costa Rica,2012,3730000,0,300000,4920000,1340000,2300000,1880000
Costa Rica,2013,3810000,0,300000,5000000,1560000,2320000,1920000
Costa Rica,2014,3670000,0,300000,5100000,1500000,2380000,1950000
Costa Rica,2015,3780000,0,320000,5450000,870000,2460000,1990000
Costa Rica,2016,4040000,0,320000,5900000,920000,2540000,2020000
Costa Rica,2017,4130000,0,340000,6020000,830000,2730000,2050000
Costa Rica,2018,4350000,0,360000,6030000,930000,2690000,2079999.9
Costa Rica,2019,4440000,0,380000,6120000,929999.99,2480000,2120000
Costa Rica,2020,4040000,0,380000,5120000,469999.99,2570000,2150000
Costa Rica,2021,3740000,0,420000,5840000,710000,2720000,2180000
Cote d'Ivoire,2008,5860000,25990000,2060000,1600000,5050000,1600000,5230000
Cote d'Ivoire,2009,5700000,26000000,1850000,1580000,4080000,2210000,4400000
Cote d'Ivoire,2010,5650000,26000000,2050000,1520000,4480000,2250000,3560000
Cote d'Ivoire,2011,5900000,26000000,2110000,1620000,4300000,2450000,2730000
Cote d'Ivoire,2012,6070000,26110000,2290000,2410000,5260000,2780000,1900000
Cote d'Ivoire,2013,6540000,26010000,2550000,2620000,5200000,3310000,1950000
Cote d'Ivoire,2014,5720000,26000000,2590000,2770000,5500000,3600000,1990000
Cote d'Ivoire,2015,5950000,26000000,2160000,3240000,5950000,3960000,2040000
Cote d'Ivoire,2016,7120000,26030000,2260000,3940000,5830000,3620000,2089999.9
Cote d'Ivoire,2017,6250000,26010000,2480000,3660000,6230000,4670000,2150000
Cote d'Ivoire,2018,6240000,26000000,2390000,4070000.2,5550000,4660000,2200000
Cote d'Ivoire,2019,6260000,26010000,2540000,4340000,5950000,5030000,2250000
Cote d'Ivoire,2020,6480000,26040000,2520000,4270000,5610000,5270000,2310000
Cote d'Ivoire,2021,6460000,26000000,2620000,5160000,6010000,5670000,2370000
Croatia,2008,3950000,0,3050000,6300000,8370000,6370000,1620000
Croatia,2009,2880000,0,3130000,6260000,7820000,5240000,1670000
Croatia,2010,2920000,0,3240000,6010000,7350000,5250000,1690000
Croatia,2011,3060000,0,2960000,5900000,7700000,4920000,1730000
Croatia,2012,2860000,0,2700000,5690000,6850000,4440000,1700000
Croatia,2013,2590000,0,2560000,5770000,6430000,4120000,1690000
Croatia,2014,2590000,0,2250000,5710000,5930000,4160000,1730000
Croatia,2015,2630000,0,2500000,6030000,5910000,4100000,1810000
Croatia,2016,2570000,0,2550000,6240000,6030000,3820000,1830000
Croatia,2017,2710000,0,2580000,6720000,5760000,4170000,1850000
Croatia,2018,2630000,0,2470000,6480000,5320000,4090000,1860000
Croatia,2019,2640000,0,2370000,6670000,5420000,4020000,1880000
Croatia,2020,2640000,0,2410000,5840000,4810000,4040000,1900000
Croatia,2021,2620000,0,2560000,6320000,5010000,4040000,1910000
Cuba,2008,10610000,0,670000,1870000,17390000,8520000,2880000
Cuba,2009,11120000,0,660000,1450000,19810000,8200000,2930000
Cuba,2010,11150000,0,630000,1280000,21370000,8890000,2990000
Cuba,2011,11480000,0,660000,1250000,21190000,8110000,3010000
Cuba,2012,11420000,0,650000,1090000,22240000,8650000,3040000
Cuba,2013,11540000,0,660000,1270000,22040000,8670000,3070000
Cuba,2014,11540000,0,610000,1430000,22630000,5810000,3090000
Cuba,2015,10900000,0,620000,1530000,23070000,7710000,3120000
Cuba,2016,11030000,0,650000,1530000,21679999,6420000,3130000
Cuba,2017,10590000,0,660000,1680000,20120000,6970000,3140000
Cuba,2018,10570000,0,700000,1660000,19850000,7360000,3160000
Cuba,2019,10470000,0,710000,1500000,18570000,6380000,3170000
Cuba,2020,9740000,0,690000,1240000,16210000,6370000,3180000
Cuba,2021,9630000,0,710000,1200000,16029999.97,6200000,3190000
Cyprus,2008,410000,0,510000,2250000,5819999.99,1950000,490000
Cyprus,2009,420000,0,550000,2250000,5660000,1710000,500000
Cyprus,2010,440000,0,490000,2300000,5410000,1520000,500000
Cyprus,2011,430000,0,540000,2230000,5400000,1430000,500000
Cyprus,2012,420000,0,519999.97,2060000,5100000,1310000,510000
Cyprus,2013,380000,0,440000,1850000,4420000,1630000,519999.97
Cyprus,2014,380000,0,390000,1800000,4510000,2010000,530000
Cyprus,2015,390000,0,450000,1870000,4640000,1860000,540000
Cyprus,2016,400000,0,440000,1990000,5130000,1850000,550000
Cyprus,2017,410000,0,450000,2060000,5150000,1890000,550000
Cyprus,2018,410000,0,380000,2069999.9,5270000,1730000,550000
Cyprus,2019,420000,0,460000,2089999.9,5200000,1660000,550000
Cyprus,2020,440000,0,420000,1820000,4300000,1750000,550000
Cyprus,2021,440000,0,390000,1960000,4470000,1700000,560000
Czechia,2008,6200000,0,11940000,18740000,77270000,22020000,4270000
Czechia,2009,6000000,0,11880000,18110000,73110000,20960000,4390000
Czechia,2010,5940000,0,13910000,17060000,76580000,17610000,4530000
Czechia,2011,6030000,0,12640000,16940000,75320000,17510000,4550000
Czechia,2012,6460000,0,12750000,16600000,71780000,17300000,4580000
Czechia,2013,6500000,0,12860000,16450001,67480000,16280000,4650000
Czechia,2014,6600000,0,11240000,16980000,65640000,16450000,4630000
Czechia,2015,7050000,0,11620000,17790000,65330000,16930000,4710000
Czechia,2016,7140000,0,12200000,18490000,65770000,16920000,4730000
Czechia,2017,6820000,0,12450000,19040000,64880000,17500000,4710000
Czechia,2018,6590000,0,11710000,19170000,64520000,17630000,4690000
Czechia,2019,6510000,0,11120000,19400000,60510000,16830000,4670000
Czechia,2020,6190000,0,10890000,18080000,52460000,16690000,4660000
Czechia,2021,6380000,0,11440000,19350000,54850000,17530000,4650000
Democratic Republic of Congo,2008,26050000,400390000,4820000,1550000,2710000,1240000,10950000
Democratic Republic of Congo,2009,25840000,400040000,5010000,1550000,2430000,1340000,11290000
Democratic Republic of Congo,2010,27220000,402160000,5020000,1700000,2850000,1440000,11640000
Democratic Republic of Congo,2011,25520000,638390000,5270000,2180000,2659999.9,1600000,12040000
Democratic Republic of Congo,2012,24890000,635500000,4100000,2160000,2110000,1620000,12450000
Democratic Republic of Congo,2013,26480000,634890000,4750000,3390000,2060000,1800000,12860000
Democratic Republic of Congo,2014,25810000,632090050,5500000,4610000,2370000,1910000,13260000
Democratic Republic of Congo,2015,26860000,633610000,5690000,2730000,2000000,2020000,13670000
Democratic Republic of Congo,2016,27010000,633410000,5880000,1940000,1940000,2170000,14130000
Democratic Republic of Congo,2017,27720000,633900000,6890000,2190000,1970000,2350000,14600000
Democratic Republic of Congo,2018,26220000,629080000,5930000,2120000,1860000,2620000,15070000
Democratic Republic of Congo,2019,26900000,632420000,6020000,2240000,2030000,2860000,15540000
Democratic Republic of Congo,2020,27250000,631360000,6100000,2380000,2090000,2980000,16000000
Democratic Republic of Congo,2021,27820000,629440000,6200000,2330000,2110000,3220000,16540001
Denmark,2008,10670000,1200000,4139999.8,14220000,34640000,7070000,1170000
Denmark,2009,10410000,1200000,4040000,13470000,32630000,5700000,1110000
Denmark,2010,10600000,1200000,4390000,13320000,33210000,5720000,1060000
Denmark,2011,10540000,0,3720000,12990000,28760000,5830000.2,1070000
Denmark,2012,10590000,0,3590000,11920000,24650000,5450000,1039999.94
Denmark,2013,10420000,0,3550000,11710000,27100000,5200000,1010000
Denmark,2014,10550000,0,2940000,11800000,23900000,5160000,1000000
Denmark,2015,10720000,0,3110000,12350000,21120000,5090000,960000
Denmark,2016,10770000,2069999.9,3200000,12510000,22100000,5350000,930000
Denmark,2017,10750000,2069999.9,3160000,12490000,19280000,5650000,900000
Denmark,2018,10510000,2069999.9,3140000,12650000,19280000,5560000,880000
Denmark,2019,10640000,2060000,3000000,12380000,16680000,5380000,850000
Denmark,2020,10870000,2060000,2840000,11370000,12410000,5490000,820000
Denmark,2021,10490000,2060000,2900000,11520000,13620000,5730000.2,810000
Djibouti,2008,710000,0,100000,80000,559999.98,50000,170000
Djibouti,2009,710000,0,110000,60000,560000,60000,170000
Djibouti,2010,710000,0,110000,90000,620000,60000,170000
Djibouti,2011,710000,0,110000,70000,590000,60000,180000
Djibouti,2012,710000,0,140000,50000,650000,60000,180000
Djibouti,2013,710000,0,80000,90000,640000,110000,180000
Djibouti,2014,720000,0,80000,120000,460000,120000,180000
Djibouti,2015,720000,0,80000,110000,520000,120000,190000
Djibouti,2016,720000,0,70000,140000,440000,100000,190000
Djibouti,2017,720000,0,70000,140000,420000,120000,190000
Djibouti,2018,720000,0,70000,140000,440000,149999.99,200000
Djibouti,2019,720000,0,80000,140000,500000,160000,200000
Djibouti,2020,720000,0,60000,110000,450000,160000,200000
Djibouti,2021,720000,0,70000,110000,470000,210000,210000
Dominica,2008,40000,0,10000,60000,100000,10000,30000
Dominica,2009,40000,0,10000,80000,90000,10000,30000
Dominica,2010,40000,0,10000,50000,110000,10000,30000
Dominica,2011,40000,0,10000,50000,90000,10000,30000
Dominica,2012,40000,0,10000,50000,100000,10000,30000
Dominica,2013,40000,0,10000,50000,90000,10000,30000
Dominica,2014,40000,0,10000,60000,90000,10000,30000
Dominica,2015,40000,0,10000,60000,100000,10000,30000
Dominica,2016,40000,0,10000,60000,100000,10000,30000
Dominica,2017,40000,0,10000,50000,90000,10000,30000
Dominica,2018,40000,0,10000,60000,90000,20000,30000
Dominica,2019,40000,0,10000,60000,100000,10000,30000
Dominica,2020,40000,0,10000,50000,90000,10000,30000
Dominica,2021,40000,0,10000,50000,100000,10000,30000
Dominican Republic,2008,8140000.5,0,1630000,5580000,10960000,4590000,2290000
Dominican Republic,2009,8440000,0,1620000,5790000,9980000,4530000,2330000
Dominican Republic,2010,8660000,0,1540000,5900000,10560000,5070000,2380000
Dominican Republic,2011,8660000,0,1420000,6220000,11110000,4670000,2420000
Dominican Republic,2012,8550000,0,1430000,6740000,11140000,4970000,2460000
Dominican Republic,2013,8600000,0,1470000,5950000,10850000,5720000,2500000
Dominican Republic,2014,8660000,0,1540000,5190000,11810000,5820000,2540000
Dominican Republic,2015,8760000,0,1670000,6300000,12690000,6050000,2570000
Dominican Republic,2016,8870000,0,1740000,6810000,12880000,6420000,2610000
Dominican Republic,2017,9050000,0,1720000,6690000,12070000,6560000,2640000
Dominican Republic,2018,9550000,0,1740000,7360000,13220000,6650000,2680000
Dominican Republic,2019,9410000,0,1810000,7850000,14620000,7620000,2720000
Dominican Republic,2020,9520000,0,1630000,7050000,12920000,7709999.8,2750000
Dominican Republic,2021,9480000,0,1800000,8220000.5,13930000,8750000,2780000
East Timor,2008,880000,470000,0,110000,5390000,0,30000
East Timor,2009,860000,470000,0,120000,5720000,0,30000
East Timor,2010,830000,460000,0,120000,6040000,0,50000
East Timor,2011,840000,470000,0,129999.99,5900000,0,50000
East Timor,2012,910000,470000,0,190000,5760000,10000,50000
East Timor,2013,860000,460000,0,180000,5700000,10000,50000
East Timor,2014,880000,480000,0,240000,5600000,10000,60000
East Timor,2015,960000,470000,0,230000,5470000,10000,60000
East Timor,2016,940000,460000,0,350000,5190000,10000,60000
East Timor,2017,950000,470000,0,300000,5049999.98,10000,60000
East Timor,2018,980000,470000,0,300000,4760000,20000,60000
East Timor,2019,1070000,480000,0,310000,4610000,20000,60000
East Timor,2020,960000,480000,0,300000,4350000.2,20000,60000
East Timor,2021,940000,460000,0,320000,4410000,20000,60000
Ecuador,2008,14160000,28540000,3040000,10190000,25540000,4910000,10110000
Ecuador,2009,15070000,28540000,3140000,10730000,26720000,5200000,10300000
Ecuador,2010,15410000,28550000,3250000,12970000,26870000,5350000,10490000
Ecuador,2011,15280000,17020000,3420000,14030000,25810000,5610000,10680000
Ecuador,2012,15080000,17060000,3510000,14520000,24530000,5960000,10880000
Ecuador,2013,15040000,17020000,3620000,15490000,25450000,6700000,11070000
Ecuador,2014,13840000,17030000,3710000,16650000,26740000,6980000,11260000
Ecuador,2015,12670000,17030000,3730000,17340000,25740000,6200000,11460000
Ecuador,2016,12880000,26130000,3660000,17530000,25260000,5150000,11650000
Ecuador,2017,12890000,26120000,3700000,18650000,22710000,5160000,11840000
Ecuador,2018,12440000,26130000,3150000,19630000,23810000,6210000,12030000
Ecuador,2019,12730000,26140000,3150000,19940000,23020000,5930000,12220000
Ecuador,2020,13050000,26140000,3170000,16219999,18680000,5630000,12410000
Ecuador,2021,12700000,26140000,3230000,19640000,21440000,5970000,12600000
Egypt,2008,32730000,0,14660000,39970000,110310000,62280000,22660000
Egypt,2009,30610000,0,15710000,42770000,115100000,62150000,23120000
Egypt,2010,29280000,0,15750000,45890000,113530000.2,63860000,23580000
Egypt,2011,31110000,920000,15970000,47880000,116920000,62970000,24120000
Egypt,2012,31290000,920000,15760000,52110000,126450000,59720000,24660000
Egypt,2013,30710000,920000,15860000,52610000,119780000,61870000,25200000
Egypt,2014,30740000,920000,16260000,54860000,124870000,59150000,25730000
Egypt,2015,30690000,920000,16740000,56300000,128290000,59320000,26270000
Egypt,2016,31240000,180000,17150000,58770000,130580000,63480000,26840000
Egypt,2017,30250000,180000,17250000,57060000,138290000,68620000,27400000
Egypt,2018,28360000,180000,17240000,57530000,132060000,71290000,27970000
Egypt,2019,22550000,180000,16780000,53240000,126780000,62070000,28540000
Egypt,2020,22450000,180000,17200000,55810000,117500000,55550000,29100000
Egypt,2021,22260000,180000,17000000,56410000,133400000,63409998,29680000
El Salvador,2008,3600000,1080000,650000,3030000,2060000,1900000,1940000
El Salvador,2009,3400000,1080000,690000,3130000,2180000,1440000,1960000
El Salvador,2010,3260000,1080000,790000,3090000,1840000,1580000,1980000
El Salvador,2011,2910000,1080000,670000,3190000,1920000,1750000,2000000
El Salvador,2012,3030000,1080000,740000,2810000,1880000,2050000,2010000
El Salvador,2013,2550000,1120000,800000,2850000,2160000,1550000,2030000
El Salvador,2014,2700000,1080000,730000,2870000,2210000,1690000,2040000
El Salvador,2015,2700000,1110000,730000,3380000,2220000,1610000,2060000
El Salvador,2016,2480000,1080000,560000,3530000,2220000,1840000,2079999.9
El Salvador,2017,2310000,1110000,450000,3460000,1540000,1960000,2089999.9
El Salvador,2018,2210000,1090000,710000,3570000,1480000,2180000,2110000
El Salvador,2019,1950000,1100000,970000,3840000,1780000,2480000,2120000
El Salvador,2020,2170000,1090000,750000,3280000,1000000,2160000,2140000
El Salvador,2021,2200000,1080000,710000,4040000,1110000,2520000,2150000
Equatorial Guinea,2008,20000,3830000,140000,480000,9510000.5,2040000,170000
Equatorial Guinea,2009,20000,3830000,150000,500000,8460000,1220000,170000
Equatorial Guinea,2010,20000,3830000,160000,519999.97,8690000,1320000,180000
Equatorial Guinea,2011,20000,3830000,160000,540000,7920000,1320000,180000
Equatorial Guinea,2012,20000,3830000,160000,560000,7870000,1380000,190000
Equatorial Guinea,2013,20000,3830000,160000,590000,7610000,1440000,190000
Equatorial Guinea,2014,20000,3830000,160000,610000,9330000,1470000,200000
Equatorial Guinea,2015,30000,3830000,160000,620000,8630000,1300000,210000
Equatorial Guinea,2016,20000,3830000,160000,640000,7869999.99,1510000,210000
Equatorial Guinea,2017,30000,3830000,160000,519999.97,7149999.99,1450000,220000
Equatorial Guinea,2018,30000,3830000,150000,490000,6840000,1420000,230000
Equatorial Guinea,2019,30000,3830000,140000,530000,6540000,1480000,230000
Equatorial Guinea,2020,30000,3840000,140000,440000,6470000,1419999.94,240000
Equatorial Guinea,2021,30000,3830000,140000,450000,6130000,1500000,240000
Eritrea,2008,4340000,460000,190000,120000,270000,60000,490000
Eritrea,2009,4350000,460000,190000,120000,300000,70000,500000
Eritrea,2010,4240000,460000,190000,140000,310000,60000,510000
Eritrea,2011,4420000,380000,200000,240000,280000,110000,530000
Eritrea,2012,4440000,380000,200000,210000,300000,140000,540000
Eritrea,2013,4480000,380000,200000,200000,280000,149999.99,550000
Eritrea,2014,4500000,380000,200000,200000,310000,149999.99,560000
Eritrea,2015,4520000,380000,190000,200000,260000,140000,570000
Eritrea,2016,4560000,450000,200000,200000,280000,149999.99,590000
Eritrea,2017,4580000,450000,210000,200000,300000,149999.99,600000
Eritrea,2018,4610000,450000,210000,220000,390000,149999.99,620000
Eritrea,2019,4610000,450000,210000,230000,400000,160000,630000
Eritrea,2020,4650000,450000,220000,220000,370000,160000,640000
Eritrea,2021,4650000,450000,220000,230000,390000,170000,660000
Estonia,2008,2230000,1260000,550000,2380000,14070000,1940000,440000
Estonia,2009,2160000,1290000,510000,2190000,11490000,1170000,430000
Estonia,2010,2170000,1360000,519999.97,2310000,15690000,1280000,440000
Estonia,2011,2200000,0,550000,2310000,15430000,1460000,390000
Estonia,2012,2230000,0,570000,2340000,14600000,1440000,380000
Estonia,2013,2260000,0,570000,2290000,16370000,1680000,340000
Estonia,2014,2320000,0,580000,2290000,14940000,1460000,310000
Estonia,2015,2350000,0,570000,2350000,12020000,1100000,300000
Estonia,2016,2220000,4600000,590000,2400000,13420000,1120000,270000
Estonia,2017,2260000,4600000,580000,2490000,14340000,1170000,259999.98
Estonia,2018,2240000,4630000,570000,2530000,13230000,1180000,250000
Estonia,2019,2310000,4620000,550000,2500000,7160000,1220000,240000
Estonia,2020,2300000,4640000,550000,2330000,5080000,670000,230000
Estonia,2021,2310000,4640000,560000,2450000,6410000,520000,220000
Eswatini,2008,1010000,0,180000,500000,250000,270000,510000
Eswatini,2009,980000,0,180000,580000,260000,230000,519999.97
Eswatini,2010,1060000,0,150000,600000,130000,169999.99,530000
Eswatini,2011,1060000,0,190000,530000,130000,160000,540000
Eswatini,2012,1070000,0,180000,530000,90000,200000,540000
Eswatini,2013,1060000,0,210000,690000,80000,200000,550000
Eswatini,2014,1060000,0,220000,690000,90000,210000,560000
Eswatini,2015,1010000,0,230000,630000,80000,320000,570000
Eswatini,2016,990000,0,290000,560000,90000,410000,580000
Eswatini,2017,1010000,0,230000,650000,80000,390000,590000
Eswatini,2018,1010000,0,230000,650000,80000,400000,590000
Eswatini,2019,1060000,0,150000,740000,160000,380000,600000
Eswatini,2020,1010000,0,150000,730000,150000,370000,610000
Eswatini,2021,1030000,0,160000,790000,150000,410000,610000
Ethiopia,2008,87060000,31130000,10920000,2590000,1580000,2310000,4070000.2
Ethiopia,2009,91100000,30550000,11160000,2700000,1740000,2260000,4150000
Ethiopia,2010,95400000,30920000,11390000,2760000,1560000,2640000,4230000
Ethiopia,2011,93450000,31600000,11680000,2920000,1580000,3590000,4310000
Ethiopia,2012,97650000,31670000,12090000,3320000,1780000,4070000,4390000
Ethiopia,2013,100190000,31410000,12370000,3880000,2000000,5110000,4470000
Ethiopia,2014,103760000,31500000,12860000,4320000,2220000,6470000,4560000
Ethiopia,2015,106140000,31220000,13000000,4810000,2340000,7010000,4640000
Ethiopia,2016,109550000,31530000,13030000,5850000,2880000,8280000,4720000
Ethiopia,2017,111660000,31630000,13030000,6200000,3210000,8230000,4810000
Ethiopia,2018,112850000,31530000,13230000,6890000,3490000,9090000,4900000
Ethiopia,2019,122480000,31630000,13650000,7690000,3910000,9650000,4980000
Ethiopia,2020,129899990,32009998,13880000,7040000,2290000,8590000,5070000
Ethiopia,2021,123540000,31970000,14260000,7310000,2680000,8730000,5160000
Fiji,2008,1000000,0,50000,380000,650000,230000,120000
Fiji,2009,970000,0,50000,300000,560000,200000,120000
Fiji,2010,960000,0,60000,470000,819999.97,280000,120000
Fiji,2011,960000,0,60000,460000,400000,260000,120000
Fiji,2012,960000,0,60000,460000,380000,270000,120000
Fiji,2013,970000,0,60000,570000,430000,260000,129999.99
Fiji,2014,440000,0,70000,630000,540000,250000,129999.99
Fiji,2015,450000,0,80000,620000,570000,290000,129999.99
Fiji,2016,440000,0,100000,620000,530000,260000,129999.99
Fiji,2017,480000,0,90000,670000,600000,320000,129999.99
Fiji,2018,470000,0,110000,740000,600000,330000,129999.99
Fiji,2019,570000,0,100000,740000,590000,340000,129999.99
Fiji,2020,500000,0,90000,500000,350000,280000,129999.99
Fiji,2021,420000,0,90000,540000,379999.98,300000,129999.99
Finland,2008,7020000,0,3000000,12840000,35520000,12800000,2680000
Finland,2009,6850000,0,3110000,12280000,34510000,10290000,2580000
Finland,2010,6930000,0,3650000,12790000,40270000,11440000,2570000
Finland,2011,6860000,0,2960000,12620000,34469999.9,10810000,2500000
Finland,2012,6850000,0,3160000,12310000,29430000,10050000,2450000
Finland,2013,6880000,0,2830000,12160000,30909999.9,9960000,2330000
Finland,2014,6950000,0,2770000,11080000,27950000,9920000,2200000
Finland,2015,6900000,0,2540000,11070000,25790000,9630000,2150000
Finland,2016,6870000,13030000,2690000,12220000,27180000,9800000,2020000
Finland,2017,6820000,13170000,2580000,11660000,25620000,9770000,1950000
Finland,2018,6740000,13570000,2470000,11860000,26860000,9789999.9,1880000
Finland,2019,6880000,13840000,2370000,11470000,24610000,9490000,1820000
Finland,2020,6810000,13960000,2130000,10660000,19660000,8820000,1750000
Finland,2021,6780000,13960000,2230000,10260000,19680000,9050000,1710000
France,2008,78600000,0,86360000,127440000,117400000,83230000,19600000
France,2009,76580000,0,88390000,126050000,113300000,69780000,19040000
France,2010,76650000,0,87090000,126350000,114820000,73190000,19100000
France,2011,74570000,0,72470000,131310000,106119996,78850000,18560000
France,2012,74980000,0,79380000,130250000,106140000,75860000,17920000
France,2013,76020000,0,82320000,129210010,102959995.9,76790000,17420000
France,2014,76440000,0,66260004,129410000,87490000,73820000,16860000
France,2015,77200000,0,69450000,130670000,90740000,71910000,15980000
France,2016,75440000,0,70450000,131210010,89710000,73820000,14960000
France,2017,76350000,0,70220000,131840000,98820000,67350000,14870000
France,2018,74200000,0,65940004,128899990,97380000,65150000,14780000
France,2019,72720000,0,64250000,128649990,94910000,61950000,14690000
France,2020,71610000,0,60650000,108790000,74100000,57410000,14600000
France,2021,68900000,0,65110000,122050000,78630000,66900000,14590000
Gabon,2008,540000,3040000,519999.97,440000,12180000,1370000,580000
Gabon,2009,410000,3030000,540000,420000,11940000,1540000,590000
Gabon,2010,440000,3020000,630000,650000,12320000,1750000,600000
Gabon,2011,519999.97,6320000,660000,740000,11910000,1870000,620000
Gabon,2012,510000,6280000,690000,770000,11270000,1980000,630000
Gabon,2013,540000,6290000,720000,870000,10840000,2300000,650000
Gabon,2014,450000,6280000,720000,850000,11220000,2350000,660000
Gabon,2015,480000,6280000,730000,830000,11560000,2429999.94,680000
Gabon,2016,510000,6310000,730000,850000,11630000,2610000,700000
Gabon,2017,560000,6300000,620000,210000,11060000,2040000,710000
Gabon,2018,460000,6300000,620000,210000,10230000.5,2200000,730000
Gabon,2019,570000,6290000,610000,200000,11010000,2340000,740000
Gabon,2020,470000,6300000,550000,170000,10770000,2390000,760000
Gabon,2021,440000,6320000,530000,180000,10079999.5,2470000,780000
Georgia,2008,2140000,0,1010000,1790000,2880000,1640000,3260000
Georgia,2009,2110000,0,1050000,2230000,2980000,1860000,3250000
Georgia,2010,2140000,0,1080000,2320000,2570000,1850000,3250000
Georgia,2011,2160000,0,1170000,2370000,2850000,2580000,3240000
Georgia,2012,2370000,0,1470000,2520000,2980000,2690000,3230000
Georgia,2013,2470000,10000,1600000,3170000,2359999.98,3580000,3230000
Georgia,2014,2500000,0,1830000,3540000,2429999.94,3520000,3220000
Georgia,2015,2130000,10000,1960000,3890000,2510000,3650000,3210000
Georgia,2016,2140000,0,2140000,4420000,2320000,3530000,3210000
Georgia,2017,2050000,0,2350000,3980000,2390000,3790000,3210000
Georgia,2018,1970000,0,2260000,3870000,2280000,3860000,3200000
Georgia,2019,1900000,40000,2530000,4010000.2,2590000,3930000,3200000
Georgia,2020,2079999.9,20000,2690000,3870000,2280000,3710000,3200000
Georgia,2021,1900000,0,3060000,4270000,2180000,3860000,3190000
Germany,2008,64699996,0,157240000,153230000,416040020,135080000,16170000
Germany,2009,64680000,0,145990000,151280000,386149998,121490000,14930000
Germany,2010,65120004,0,153410000,152380000,405039998,125090000,13810000
Germany,2011,63770000,0,131920000,154210000,396380000,124850000,12940000
Germany,2012,64059996,0,139910000,152730000,407900000,121570000,12110000
Germany,2013,64879996,0,150640000,156580000,410580000,120350000,11340000
Germany,2014,66269996,0,129070010,158850000,389450000,118240000,10680000
Germany,2015,65080000,0,132970000,161860000,385589980,121980000,10070000
Germany,2016,64019996,0,136340000,165350000,388660020,119870000,9480000
Germany,2017,62670000,0,134780000,167860000,371420000,121760000,9060000
Germany,2018,60070000,0,124180000,161890000,359150000,123990000,8630000
Germany,2019,59690000,0,126150000,164320000,309090000,118370000,8200000
Germany,2020,58050000,0,127250000,146510000,256920000,117590000,7770000
Germany,2021,55600000,0,125630000,151330000,290969980,116570000,7480000
Ghana,2008,8090000,45850000,1030000,4270000,2960000,1570000,2820000
Ghana,2009,7860000,45830000,1460000,5190000,2850000,1790000,2890000
Ghana,2010,8300000,45830000,1220000,5290000,4160000,1790000,2970000
Ghana,2011,9150000,29420000,1380000,5890000,4380000,2060000,3050000
Ghana,2012,8690000,29420000,1450000,7030000,5040000,2390000,3140000
Ghana,2013,9500000,29400000,1360000,7440000,5840000,2540000,3220000
Ghana,2014,9320000,29390000,1320000,7490000,5300000,2560000,3300000
Ghana,2015,9780000,29390000,1410000,8120000,5480000,2790000,3380000
Ghana,2016,9800000,0,1420000,7510000,6300000,2780000,3470000
Ghana,2017,10270000,0,1490000,7280000,8340000,2820000,3560000
Ghana,2018,10080000,0,1500000,8279999.5,8550000,3240000,3640000
Ghana,2019,10280000,0,1550000,8750000,9560000,3449999.9,3730000
Ghana,2020,11520000,0,1620000,9420000,10420000,3740000,3810000
Ghana,2021,10550000,0,1730000,10340000,12190000,4120000,3900000
Greece,2008,8680000,0,10200000,22800000,68410000,20070000,4770000
